sy_dist,pl_rade,pl_bmasse,pl_orbsmax,pl_insol,pl_eqt,discoverymethod,disc_year,st_spectype,pl_radj,pl_bmassj
64.2308,2.26,3.65,0.0437,22.3,553.0,Transit,2024,M1 V,0.202,0.01148
64.2308,1.92,5.2,0.0576,12.9,482.0,Transit,2024,M1 V,0.171,0.01636
75.2092,1.992,5.72,0.0618,207.1,1056.0,Transit,2023,G,0.178,0.018
27.1701,1.85,4.0,0.0652,11.5,514.0,Transit,2020,M1 V,0.165,0.01259
27.1701,2.02,5.3,0.1,4.9,415.0,Transit,2020,M1 V,0.18,0.01668
59.7117,2.94,7.6,0.0903,36.9,686.0,Transit,2024,K3 V,0.262,0.02391
27.5024,1.704,4.53,0.0422,78.84,871.0,Transit,2023,K V,0.152,0.01425
27.5024,2.587,9.6,0.075,26.71,665.0,Transit,2023,K V,0.231,0.0302
175.748,3.186,16.137,0.041657,80.88,1317.0,Transit,2023,G V,0.284,0.05077
77.2554,2.765,9.1,0.02636,188.0,941.0,Transit,2022,K V,0.247,0.02863
28.5321,1.24,2.53,0.01,233.9,996.0,Transit,2024,M2.5 V,0.111,0.00796
18.2702,2.042,4.82,0.06839,309.0,1170.0,Transit,2018,G0 V,0.182,0.01517
